Wreck_Name,Wreck_No,Classification,Place_of_Loss,Date_of_Loss,DD_Lat,DD_Long,Source_of_Co_ordinate,Description,Record_Source,Date_of_Loss_Year_Only
Aracataca (SS),W12439,Steamship,Unknown,29/11/1940,57.13333,-20.83333,BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 14.",1940
Oregon (SS),W09927,Steamship,W Approaches to the British Isles Admiralty Chart,10/8/42,57.08333,-22.68333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 528; BVLS 1939-45, 39.",1942
Simonside (SS),W12578,Steamship,"57 4 N, 23 25 W",26/01/1903,57.06667,-23.41667,"Parliamentary Papers 1904, LXXXVI",We regret that we are unable to supply descriptive details for this record at present.,"PP 1904, LXXXVI, 157.",1903
Broadwater (HMS),W09495,Destroyer,"Tory Island, 435 miles WNW of",18/10/1941,57,-19,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 106; Lloyd's List 39, 611, Monday 27th October 1941.",1941
Condylis (SS),W09560,Steamship,W Approaches to the British Isles Admiralty Chart,10/8/42,57,-22.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,,1942
Crispin (HMS),W09568,Steamship,"Tory Island, 450 miles WNW of",3/2/41,57,-19.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 169; BVLS 1939-45, 12. Lloyd's List 39, 403; Saturday 22nd February 1941.",1941
Davanger (SS),W09583,Steamship,N Atlantic Ocean: Scotland to Iceland Admiralty Chart,12/10/40,57,-19.16667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 181.",1940
Empire Reindeer (SS),W09626,Steamship,W Approaches to the British Isles Admiralty Chart,10/8/42,57,-22.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 39.",1942
Tymeric (SS),W10112,Steamship,N Atlantic Ocean: Scotland to Iceland Admiralty Chart,23/11/1940,57,-20.5,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 722; BVLS 1939-45, 13.",1940
Ardmore (SS),W03182,Steamship,"The Great Saltee, Co. Wexford. 5.4km SE",11/11/40,56.96667,-18.16667,GSI Wreck Data,"Steel Steamship of Cork en route from Cork to Fishguard with a cargo of 500 cattle and pigs when it disappeared. Hit a mine and sank, all 24 on board were lost. Owned by the B. & I. Steamship Co./City of Cork Steam Packet Co. Powered by 3-cylinder triple expansion double boiler screw engine. Wreck was discovered south of the Saltees, Co. Wexford in 1995 and the wreck surveyed by the Celtic Voyager in 2009 as part of the INFOMAR seabed mapping programme. The wreck measures 80m long, 9m in maximum width and lies in 52m of water. GSI Wreck No_206.
----------------------------","Cork Examiner; Larn & Larn 2002; Hocking 1969, 44; Lloyd's List 39, 320, Friday 15th November 1940; Lloyd's List 39, 321, Saturday 16th November 1940; Lloyd's List 39, 325, Thursday 21st November 1940; Roche 1993, 121, 132;",1940
La Estancia (SS),W09803,Steamship,N Atlantic Ocean: Scotland to Iceland Admiralty Chart,20/10/1940,56.85,-16.4,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 12.",1940
Euphorbia (SS),W09646,Steamship,W Approaches to the British Isles Admiralty Chart,14/12/1940,56.83333,-23,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 231.",1940
King Alfred (SS),W12425,Steamship,Unknown,4/8/40,56.83333,-17.63333,BVLS 1939-1945,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 8.",1940
Alexandros (SS),W09384,Merchant Vessel,"Tory Island, 320 miles WNW of",15/09/1940,56.81667,-16.06667,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"Hocking 1989, 22; Lloyd's List 39, 268; Monday 16th September 1940.",1940
Geraldine Mary (SS),W09686,Steamship,N Atlantic Ocean: Scotland to Iceland Admiralty Chart,4/8/40,56.76667,-15.8,UKHO,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 8.",1940
Marina (SS),W09858,Steamship,"Tory Island, 445nm WNW",18/09/1940,56.76667,-21.25,wrecksite.eu; BVLS 1939-1945,"5,088-ton steamship sunk by submarine torpedo on 18 September 1940. 15 crew members landed at Derry on 26 September 1949.
----------------------------","Lloyd's List 39, 272, Friday 20th September 1940; Lloyd's List 39, 275, Tuesday 24th September 1940; Lloyd's List 30, 278, Friday 27th September 1940.",1940
Cape Race (SS),W09518,Steamship,W Approaches to the British Isles Admiralty Chart,10/8/42,56.75,-22.83333,wrecksite.eu,We regret that we are unable to supply descriptive details for this record at present.,"BVLS 1939-45, 39.",1942
