ship,flag,sunk_date,sunk_year,notes,lat,long
Grace Dieu,England,1439,1439,"Henry V's flagship, struck by lightning in the River Hamble. Now a protected wrecksite. Wreck found in 1859.",50.891665,-1.28848
St Anthony (aka Santo António),Portugal,15 January 1527,1527,A Portuguese carrack that foundered in Gunwalloe Bay.,50.05,-5.287
Mary Rose,Royal Navy,19 July 1545,1545,"A Tudor warship sunk in Portsmouth Harbour, possibly during an engagement with the French fleet. Now a protected wrecksite",50.79972,-1.10667
HMS London,England,7 March 1665,1665,"A second-rate ship of the line that accidentally exploded in the Thames Estuary, killing 300 crewmen.",51.4966,0.7397
HMS Northumberland,Royal Navy,27 November 1703,1703,"A third-rate ship of the line wrecked in the Great Storm of 1703, with 220 deaths.",51.25806,1.50028
HMS Restoration,Royal Navy,27 November 1703,1703,"A third-rate ship of the line wrecked in the Great Storm of 1703, with 387 deaths.",51.26167,1.50083
HMS Stirling Castle,Royal Navy,27 November 1703,1703,A third-rate ship of the line wrecked in the Great Storm of 1703.,51.2742683,1.5068683
HMS Firebrand,Royal Navy,22 October 1707,1707,A fireship wrecked in the Scilly naval disaster of 1707.,49.88889,-6.34306
Rooswijk,Dutch East India Company,19 December 1739,1739,An East Indiaman that was wrecked in a heavy storm with the loss of all hands. The wreck was discovered in 2004.,51.27417,1.57556
HMS Victory,Royal Navy,4 October 1744,1744,"A first-rate ship of the line that was lost in a storm, and discovered in 2009 near Salcombe.",49.7083,-3.555
Amsterdam,Dutch East India Company,26 January 1749,1749,A Dutch East India Company ship that ran aground near Hastings. The wreck site is protected.,50.846899,0.524281
HMS Invincible,Royal Navy,16 March 1801,1801,A third rate warship that struck rocks off Happisburgh.,50.74278,-1.03972
Forfarshire,United Kingdom,7 September 1838,1838,A paddlesteamer that foundered on the Farne Islands.,55.63938,-1.61911
Caledonia,United Kingdom,7 September 1842,1842,A brig that was wrecked near Morwenstow.,50.905,-4.569
SS Little Western,United Kingdom,6 October 1872,1872,A passenger ship that was wrecked on a reef off Samson.,49.927,-6.348
PS Earl of Arran,United Kingdom,16 July 1872,1872,A passenger ship that was wrecked off the Eastern Isles.,49.956139,-6.257722
Princess Alice,United Kingdom,3 September 1873,1873,"A paddle steamer that collided with Bywell Castle near North Woolwich, with over 650 deaths.",51.51054,0.09015
Deutschland,Germany,6 December 1875,1875,A passenger steamship that ran aground on the Kentish Knock.,51.66667,1.61667
Irex,United Kingdom,25 January 1890,1890,"A sailing ship wrecked at Scratchell's Bay, near The Needles.",50.663,-1.571
Nornen,Norway,3 March 1897,1897,"Three mast Barque (Bark. Nor). Sailing from Brunswick Georgia to Bristol England. Forced ashore at Berrow beach, Somerset, by a storm. All crew and the ship's dog were rescued. The hull remains as a wreck on the beach to this day.",51.272,-3.023
Thomas W. Lawson,United States,14-Dec-07,1907,"An American schooner wrecked off the island of Annet, spilling 58,000 barrels of kerosene.",49.89389,-6.38194
Mahratta (1892),United Kingdom,9-Apr-09,1909,A steamship that ran aground and broke in two.,51.24583,1.50139
Alf,Norway,23-Nov-09,1909,A Norwegian barque that ran aground on Haisborough Sands.,52.9,1.717
Preußen,Germany,6-Nov-10,1910,"A five-masted windjammer that was rammed by SS Brighton, and subsequently driven onto rocks off the coast of Dover.",51.13367,1.3695
HMS A1,Royal Navy,1911,1911,An A-class submarine sunk off Bracklesham Bay.,50.7425,-0.9213
HMS Holland 5,Royal Navy,8-Aug-12,1912,A Holland-class submarine that foundered off Beachy Head while under tow to be scrapped.,50.729,0.248
HMS A7,Royal Navy,16-Jan-14,1914,An A-class submarine that sank in Whitsand Bay.,50.32917,-4.30694
HMS Empress of India,Royal Navy,4-Nov-14,1914,A battleship sunk as a target in Lyme Bay.,50.49033,-2.959
HMS Empress of India,Royal Navy,4-Nov-14,1914,A battleship sunk as a target in Lyme Bay.,50.495,-2.965
HMS Hood,Royal Navy,4-Nov-14,1914,A pre-dreadnought battleship sunk as a blockship in Portland Harbour.,50.56917,-2.42111
HMS Niger,Royal Navy,11-Nov-14,1914,A minesweeper that was torpedoed by U-12 off Deal.,51.2206,1.44
HMS Bulwark,Royal Navy,26-Nov-14,1914,A Formidable-class battleship that exploded off Sheerness with the loss of 736 men.,51.417,0.65
HMS Amphion,Royal Navy,6-Aug-14,1914,An Active-class scout cruiser sunk by a mine laid by SS Königin Luise.,52.11,2.36
HMS Formidable,Royal Navy,1-Jan-15,1915,A Formidable-class battleship sunk off Start Point by German submarine U-24.,50.217,-3.067
SS Bengrove,United Kingdom,7-Mar-15,1915,A collier torpedoed by German submarine U-20.,51.351,-4.116
Don,United Kingdom,8-May-15,1915,A cargo ship that was torpedoed by U-9 east of Coquet Island.,55.333,-1.3
UC-19,Imperial German Navy,6-Dec-16,1916,A German minelaying submarine sunk by HMS Ariel,49.683,-6.517
The Queen,United Kingdom,26-Oct-16,1916,A steamship torpedoed by German destroyer S60 off the Varne Bank.,50.9,1.317
Maloja,United Kingdom,27-Feb-16,1916,A passenger ship that was sunk by a mine off Folkestone.,51.05,1.19
Leicester,United Kingdom,12-Feb-16,1916,A cargo ship that struck a mine southeast of Folkestone.,51.067,1.25
Golconda,United Kingdom,3-Jun-16,1916,A passenger ship that struck a mine and sank 5 nautical miles (9.3 km) southeast of Aldeburgh.,52.14167,1.74583
HMS Falmouth,Royal Navy,19-Aug-16,1916,A Town-class cruiser sunk by U-63 off Hornsea.,53.98217,-0.075
USS Jacob Jones,United States Navy,6-Dec-17,1917,A Tucker-class destroyer torpedoed by German submarine U-53,49.383,-6.217
SS Vigrid,Norway,31-Dec-17,1917,A Norwegian cargo ship that was torpedoed by U-95.,50.05,-5.917
UC-51,Imperial German Navy,17-Nov-17,1917,A German minelaying submarine sunk by a mine off Salcombe.,50.133,-3.7
SS Maine,United Kingdom,21-Nov-17,1917,A steamship torpedoed by UC-17 off Dartmouth.,50.2125,-3.84925
SS Eastfield,United Kingdom,27-Nov-17,1917,A steamship torpedoed by U-boat UB-57 off Mevagissey.,50.237583,-4.704367
HMS Foyle,Royal Navy,15-Mar-17,1917,A River-class destroyer that struck a mine southeast of the Rame Peninsula.,50.267,-4.167
HMS Foyle,Royal Navy,15-Mar-17,1917,A River-class destroyer that struck a mine in the Strait of Dover but sank while under tow to Plymouth,50.27833,-4.18
Rosehill,United Kingdom,23-Sep-17,1917,Torpedoed by UB-40 off Fowey.,50.329883,-4.308667
Mendi,Royal Navy,21-Feb-17,1917,"A troopship rammed by Darro, with the loss of 646 lives.",50.46667,-1.55
UC-65,Imperial German Navy,3-Nov-17,1917,A German minelaying submarine torpedoed by HMS C15 off Eastbourne.,50.517,0.45
SS Radaas,Denmark,21-Sep-17,1917,A Danish steamship sunk by UB-40 off Portland Bill.,50.57028,-3.08056
Marguerite,France,28-Jun-17,1917,A French ship torpedoed by UB-40.,50.60167,-2.9775
HMS Ariadne,Royal Navy,26-Jul-17,1917,A Diadem-class cruiser torpedoed off Beachy Head by German submarine UC-65.,50.655,0.291
HMS Ghurka,Royal Navy,8-Feb-17,1917,A Tribal-class destroyer that hit a mine off Dungeness.,50.85556,0.88806
UB-56,Imperial German Navy,19-Dec-17,1917,A Type UB III U-boat that was sunk by a mine.,50.967,1.35
UC-46,Imperial German Navy,8-Feb-17,1917,A German minelaying submarine sunk by HMS Liberty.,51.117,1.65
UC-63,Imperial German Navy,1-Nov-17,1917,A German minelaying submarine torpedoed by HMS E52.,51.383,2
SS Saint Ninian,United Kingdom,7-Feb-17,1917,A cargo ship that was torpedoed by UB-48 off Whitby.,54.479472,-0.469528
SS Lanthorn,United Kingdom,21-May-17,1917,A cargo ship that was sunk by UB-41 off Whitby.,54.5,-0.483
Hebble,United Kingdom,6-May-17,1917,A cargo ship that was sunk by mine east of Roker.,54.917,-1.3
RFA Lady Cory-Wright,Royal Navy,26-Mar-18,1918,A cargo ship and mine carrier that was torpedoed by German submarine UC-17 off The Lizard.,49.75,-5.333
UC-49,Imperial German Navy,8-Aug-18,1918,A German minelaying submarine sunk by HMS Opossum off Start Point.,50.333,-3.5
RMS Moldavia,United Kingdom,23-May-18,1918,An armed merchantman torpedoed off Beachy Head by UB-57.,50.3855,-0.47867
SS Kyarra,Australia,5-May-18,1918,A luxury liner sunk by German submarine UB-57 near Swanage.,50.59083,-1.94944
HMS Boxer,Royal Navy,8-Feb-18,1918,An Ardent-class destroyer that collided with SS St Patrick off Culver Down.,50.60222,-1.10056
UB-65,Imperial German Navy,14-Jul-18,1918,A Type UB III U-boat that sunk for unknown reasons northwest of Doom Bar.,50.611,-5.005
USCGC Tampa,United States Coast Guard,26-Sep-18,1918,A cutter that was torpedoed by German submarine UB-91.,50.667,-6.317
HMS Hazard,Royal Navy,28-Jan-18,1918,A Dryad-class torpedo gunboat that collided with SS Western Australia off Seaview.,50.72694,-1.05389
