territory,gisname,ST_region,pop_1850,pop_1860,pop_1870,pop_1880,pop_1890,pop_1900,pop_1910,pop_1920,pop_1930,pop_1940,pop_1950
Mauritania,,Senegambia,483631.4325,478816.8237,474050.1448,474050.1448,478812.0355,488474.9237,508369.4004,513476.0322,561606.1293,602180.3011,692000
Senegal,,Senegambia,1560983.083,1576663.346,1624606.931,1724757.765,1795003.24,1831228.135,1868184.083,1886950.216,2063821.368,2212925.586,2543000
Gambia,,Senegambia,187806.4058,189692.9437,191598.4322,199401.8021,207522.9857,211710.9995,215983.5314,218153.1119,238601.448,255839.6077,294000
Guine-Bissau,,Upper Guinea,352935.6504,345940.1281,342496.2527,349408.157,356459.5503,363653.2474,370992.1203,374718.7807,409842.6232,439452.3874,505000
Guinee,,Upper Guinea,1724121.772,1724121.772,1741440.782,1776584.735,1812437.926,1812437.926,1849014.67,1905239.983,2125500.654,2279060.995,2619000
Sierra Leone,,Upper Guinea,1305328.835,1305328.835,1318441.02,1345048.43,1372192.803,1399884.976,1428136.004,1442481.801,1577691.207,1691674.141,1944000
Liberia,,Upper Guinea,553287.531,553287.531,558845.3708,570123.4087,581629.0484,593366.8829,605341.5982,611422.3273,668733.31,717047.0637,824000
Ivory Coast,,Grain Coast,1733220.171,1768198.223,1785959.987,1822002.38,1822002.38,1858772.143,1840267.844,1858753.556,2032981.725,2179857.882,2505000
Ghana,,NA,3319792.998,3336995.324,3354531.178,3414208.687,3521807.813,3658171.341,3799945.933,3890397.163,4255059.156,4562473.004,5243000
  Akan,,Gold Coast,2188383.205,2210365.778,2232569.168,2277624.564,2370387.052,2466927.545,2567399.914,2645470.071,2893440.226,3102481.643,3565240
  TVT,,Gold Coast,324149.7588,327405.8821,330694.7135,337368.4514,344176.8718,351122.6926,358208.6868,361806.9361,395720.5015,424309.9893,487599
  N. Gold Coast,,W. Sudan,807260.0341,799223.6638,791267.2965,799215.6716,807243.8891,840121.1035,874337.3323,883120.156,965898.4283,1035681.372,1190161
Togo,,Gold Coast,848944.7154,857472.4671,866085.8812,901359.5966,919549.9016,938107.3044,957039.2136,986141.108,1078575.933,1156499.451,1329000
Dahomey,,NA,1326104.021,1310533.828,1349735.784,1397115.197,1410381.455,1410381.455,1454028.248,1487744.862,1627196.95,1744756.508,2005000
  S. Dahomey,,Bight of Benin,800052.415,800052.415,849372.6015,901733.1898,919931.0342,919931.0342,938496.1287,967034.1603,1057678.017,1134091.73,1303250
  N. Dahomey,,C. Sudan,526051.6057,510481.4129,500363.183,495382.0076,490450.4203,490450.4203,515532.1196,520710.7017,569518.9324,610664.7779,701750
Nigeria,,NA,22694626.03,22431121.66,22265735.81,22332912.76,22633771.27,22766731.37,23719465,24732202.31,27303693.92,29552085.3,33960000
  W. Nigeria,,Bight of Benin,3745402.745,3671165.28,3634618.39,3634618.39,3858678.781,4015834.024,4096877.423,4221456.325,4709489.754,5150928.467,5919228
  E. Nigeria,,Bight of Biafra,4602477.144,4837848.432,4984958.971,5187985.054,5399279.93,5508242.6,5563573.559,5732752.134,6270105.194,6723099.405,7725900
  N. Nigeria,,C. Sudan,14346746.14,13922107.95,13646158.45,13510309.31,13375812.56,13242654.75,14059014.01,14777993.85,16324098.97,17678057.42,20314872
Niger,,C. Sudan,1671508.952,1622035.258,1589884.967,1574057.472,1558387.541,1542873.607,1637985.892,1687794.188,1827783.735,1940459.646,2208000
Upper Volta,,W. Sudan,3106331.424,3014389.534,2925168.96,2896048.553,2867218.042,2867218.042,3043971.123,3136532.979,3363137.037,3535128.309,3983000
Mali,,W. Sudan,2520183.391,2445590.441,2373205.31,2349579.767,2326189.419,2326189.419,2469590.143,2544686.075,2755748.212,2925629.602,3329000
Chad,,Chad,2114973.679,2031881.383,1952053.586,1894276.268,1838209.057,1783801.335,1893765.899,1912789.005,2050981.638,2155869.11,2429000
Central African Rep,,NA,1101094.786,1052865.89,1021083.418,1005141.597,989671.6267,994309.6969,1034805.678,1034748.766,1109505.917,1166246.196,1314000
  W. Ubangi-Chari,,Loango,517534.8057,492232.5966,482476.0756,482476.0756,482476.0756,502126.2329,522576.6965,517374.3829,554752.9584,583123.098,657000
  E. Ubangi-Chari,,Chad,583559.98,560633.2934,538607.342,522665.5218,507195.5511,492183.464,512228.9812,517374.3829,554752.9584,583123.098,657000
Cameroon,,NA,3270723.973,3261309.238,3263167.443,3298457.942,3334764.898,3372105.797,3421732.509,3445441.844,3705044.343,3928945.8,4466000
  Br. Cameroon,,Bight of Biafra,436540.2762,440925.3757,445354.5241,454342.2075,463511.2709,472865.3749,482408.2537,497077.4479,543670.4422,582948.8204,669900
  SW Fr. Cam.,,Bight of Biafra,1767937.834,1785696.982,1803634.523,1840033.605,1877167.256,1915050.299,1915050.299,1934287.21,2074033.016,2180099.339,2456300
  N. Cam.,,C. Sudan,1066245.863,1034686.881,1014178.397,1004082.129,994086.3714,984190.1225,1024273.956,1014077.186,1087340.884,1165897.641,1339800
Equatorial Guinea,,NA,183134.8502,184420.5337,185719.132,188354.264,191042.5754,191042.5754,191042.5754,189689.6888,199410.1666,206787.9574,226000
  Fernando Po,,NA,55144,55144,55144,55144,55144,55144,55144,55144,55144,55144,55144
  Rio Muni,,Forest,127990.8502,129276.5337,130575.132,133210.264,135898.5754,135898.5754,135898.5754,134545.6888,144266.1666,151643.9574,170856
Gabon,,Forest,351335.0936,354864.2969,358428.9514,365662.3929,373041.8123,373041.8123,373041.8123,369328.1364,396010.8638,416262.9117,469000
Congo-Brazzaville,,Loango,599670.1521,570352.3566,576081.6146,593599.2524,605578.6572,605578.6572,605578.6572,599550.0491,655748.1972,703123.8198,808000
Congo-Kinshasa,,NA,9716814.581,9294880.49,9421981.69,9674013.444,9631020.595,9616988.302,9616988.302,9531510.219,10242275.74,10789859.43,12184000
  Low & Mid Congo,,Loango,7120874.215,6772735.604,6909415.933,7190820.787,7190820.787,7190820.787,7190820.787,7119235.305,7633576.338,8023958.44,9040528
  Kivu,,Tanzania,1605668.609,1511888.49,1481921.414,1452548.314,1409555.465,1395523.172,1395523.172,1381630.571,1481448.777,1557210.263,1754496
  Katanga,,Angola,990271.7575,1010256.396,1030644.343,1030644.343,1030644.343,1030644.343,1030644.343,1030644.343,1127250.629,1208690.731,1388976
Angola,,NA,2869655.165,2925211.919,2984245.513,2985593.28,2986288.31,2986997.367,3047277.851,3077888.123,3366390.497,3609600.996,4148000
  Cabinda,,Loango,34104.87831,32437.49526,33092.11517,34439.88203,35134.91203,35843.9684,36567.33421,36934.65748,40396.68597,43315.21195,49776
  Angola Other,,Angola,2835550.287,2892774.424,2951153.398,2951153.398,2951153.398,2951153.398,3010710.517,3040953.466,3325993.811,3566285.784,4098224
Somalia,,NA,1630367.595,1614137.09,1598068.162,1598068.162,1598068.162,1630318.717,1663220.119,1679927.365,1837393.463,1970139.02,2264000
  Br. Somalia,,Horn,538021.3063,532665.2397,527362.4935,527362.4935,527362.4935,538005.1766,548862.6394,554376.0306,606339.8429,650145.8765,747120
  Ital. Somalia,,Horn,1092346.288,1081471.85,1070705.669,1070705.669,1070705.669,1092313.54,1114357.48,1125551.335,1231053.62,1319993.143,1516880
Djibouti,,Horn,44647.87583,44203.40088,43763.35073,43763.35073,43763.35073,44646.5373,45547.54744,46005.07803,50317.31216,53952.57033,62000
Ethiopia,,Horn,12504993.66,12380504.95,12257255.54,12257255.54,12257255.54,12257255.54,13012868.7,13678348.52,14960473.1,16041317.44,18434000
Eritrea,,Horn,758734.0471,751180.7587,743702.6643,743702.6643,743702.6643,789549.1031,838221.8004,846641.8392,926000.8576,992901.3346,1141000
Sudan,,NA,7244955.54,6960318.432,6423116.963,6359174.064,6359174.064,6233129.151,6617377.84,6955791.417,7458324.173,7997163.247,9190000
  S. Sudan,,E. Sudan,3426863.97,3292230.619,3038134.323,3007889.332,3007889.332,2948270.088,3130019.718,3290089.34,3527787.334,3782658.216,4346870
  N. Sudan,,E. Sudan,3818091.569,3668087.814,3384982.639,3351284.732,3351284.732,3284859.062,3487358.122,3665702.077,3930536.839,4214505.031,4843130
Mozambique,,NA,5622215.873,5347346.473,5035031.227,4693476.561,4509081.007,4554375.268,4646286.948,4692959.459,5132848.724,5503679.944,6324595
  S. Mozambique,,Mozambique,3637573.67,3459733.168,3257665.204,3036679.335,2917375.411,2946680.798,3006147.655,3036344.77,3320953.124,3560880.924,4092012.965
  N. Mozambique,,Mozambique,1984642.203,1887613.305,1777366.023,1656797.226,1591705.595,1607694.469,1640139.293,1656614.689,1811895.6,1942799.02,2232582.035
Malawi,,NA,2548507.165,2412088.847,2271209.23,2127527.283,2053991.185,2074623.774,2116491.68,2137752.093,2338131.876,2507054.115,2881000
  S. Nyasaland,,Mozambique,1306135.492,1242278.699,1169722.604,1090373.699,1047535.505,1058058.125,1079410.757,1090253.568,1192447.257,1278597.599,1469310
  N. Nyasaland,,Tanganyika,1242371.673,1169810.148,1101486.626,1037153.584,1006455.681,1016565.649,1037080.923,1047498.526,1145684.619,1228456.516,1411690
Zambia,,NA,1884798.873,1810343.254,1734163.669,1668151.323,1636652.104,1703309.235,1772681.161,1790487.956,1958317.326,2099799.229,2413000
  W. N. Rhodesia,,Angola,609997.2217,609997.2217,603924.6263,603924.6263,603924.6263,628521.1078,654119.3483,660690.0558,722619.0935,774825.9155,890397
  E. N. Rhodesia,,Tanzania,1274801.651,1200346.032,1130239.042,1064226.697,1032727.477,1074788.127,1118561.812,1129797.9,1235698.233,1324973.314,1522603
Madagascar,,Madagascar,3111356.641,3049686.576,2989238.871,2959480.64,2930018.656,2871942.883,3048987.231,3141701.619,3436185.479,3684438.432,4234000
Tanganyika,,Tanganyika,6470538.034,6092622.056,5736778.506,5401718.229,5241836.968,5086687.909,5400262.859,5676433.015,6208507.065,6657051.016,7650000
Rwanda,,Tanganyika,1791273.349,1720898.471,1653288.454,1588334.675,1572522.613,1556867.962,1588287.057,1604241.592,1754613.369,1881378.34,2162000
Burundi,,Kenya,1665668.122,1682399.959,1699299.869,1733593.377,1768578.962,1768578.962,1804270.589,1822394.704,1993214.817,2137217.947,2456000
Kenya,,Kenya,3960781.631,4000568.159,4040754.347,4122300.662,4205492.661,4205492.661,4290363.554,4420826.032,4931908.161,5288222.095,6077000
Uganda,,Kenya,3499146.199,3464311.779,3429824.141,3429824.141,3429824.141,3569513.106,3641549.319,3752282.487,4186075.744,4488505.77,5158000
Namibia,,So. Africa,335566.8612,338937.6707,342342.3404,349251.1386,356299.363,356299.363,356299.363,359878.4329,393611.2322,422048.3324,485000
Botswana,,So. Africa,274442.2619,277199.0674,279983.5654,285633.9035,291398.2708,297278.9686,303278.3446,306324.812,335037.823,359243.1895,412827
South Africa,,So. Africa,7042772.158,7113517.651,7184973.791,7329973.483,7477899.41,7782457.308,8099419.159,8180778.798,8947594.878,9594028.798,11025050
Swaziland,,So. Africa,181487.0091,183310.0679,185151.4396,188887.974,192699.9153,196588.7852,200556.1363,202570.7468,221558.4874,237565.35,273000
Lesotho,,So. Africa,487954.0831,492855.6405,497806.4346,507852.6481,518101.6038,528557.3932,539224.1906,544640.7624,595692.0504,638728.8165,734000
Zimbabwe,,Mozambique,2345286.463,2275870.151,2186456.615,2079561.036,2038342.147,2018050.207,2018050.207,2038321.764,2229381.556,2390446.947,2747000
Morocco,,Morocco,5176347.594,5387168.502,5606575.668,5893296.688,6133317.308,6383113.424,6577212.778,6643281.671,7265982.19,7790925.196,8953000
Spanish Sahara,,NA,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Algeria,,Algeria,5703891.682,5877337.086,5936375.644,6056177.423,6178396.918,6303082.92,6430285.205,6494878.193,7103668.279,7616884.647,8753000
Tunisia,,Tunisia,2300324.19,2370273.039,2394082.717,2442397.613,2491687.549,2541972.205,2593271.652,2619321.378,2864840.515,3071815.698,3530000
Libya,,Libya,594935.9627,619166.3564,644383.599,677337.4614,704923.8813,733633.8337,755942.3599,763535.8918,835105.0679,895438.6269,1029000
Egypt,,Egypt,13401813.9,13947639.42,14515695.16,15106886.54,15411758.06,15722782.19,16040083.08,16201207.64,17719809.58,19000006.78,21834000
