OID_,name,count,code
1,Abbey St Bathans,2,001
2,Abdie,5,002
3,Abercorn,1,003
4,Aberdalgie,3,004
5,Aberdeen,77,005
6,Aberdour (Fife),13,006
7,Aberdour (Aberdeenshire),0,007
8,Aberfoyle,0,008
9,Aberlady,7,009
10,Aberlemno,2,010
11,Aberlour,0,011
12,Abernethy,4,012
13,Abernethy and Kincardine,0,013
14,Abernyte,0,014
15,Aboyne and Glen Tanar,2,015
16,Airlie,0,016
17,Airth,2,017
18,Alford,1,018
19,Alloa,14,019
20,Alness,2,020
21,Alva,0,021
22,Alvah,0,022
23,Alves,0,023
24,Alvie,0,024
25,Alyth,0,025
26,Ancrum,1,026
27,Annan,0,027
28,Anstruther Easter,1,028
29,Anstruther Wester,0,029
30,Anwoth,0,030
31,Applecross,2,031
32,Applegarth,0,032
33,Arbirlot,2,033
34,Arbroath and St Vigeans,17,034
35,Arbuthnott,0,035
36,Ardchattan and Muckairn,0,036
37,Ardclach,0,037
38,Ardersier,0,038
39,Ardgour,0,039
40,Ardnamurchan,0,040
41,Ardoch,1,041
42,Ardrossan,6,042
43,Arisaig and Moidart,2,043
44,Arngask,0,044
45,Arrochar,0,045
46,Ashkirk,0,046
47,Assynt,2,047
48,Athelstaneford,3,048
49,Auchindoir and Kearn,0,049
50,Auchinleck,2,050
51,Auchterarder,4,051
52,Auchterderran,0,052
53,Auchtergaven,1,053
54,Auchterhouse,0,054
55,Auchterless,0,055
56,Auchtermuchty,1,056
57,Auchtertool,0,057
58,Auldearn,49,058
59,Avoch,0,059
60,Avondale,0,060
61,Ayr,38,061
62,Ayton,7,062
63,Baldernock,0,063
64,Balfron,0,064
65,Ballantrae,0,065
66,Ballingry,0,066
67,Balmaclellan,1,067
68,Balmaghie,0,068
69,Balmerino,2,069
70,Balquhidder,0,070
71,Banchory-Devenick,1,071
72,Banchory-Ternan,2,072
73,Banff,3,073
74,Barr,0,074
75,Barra,0,075
76,Barry,0,076
77,Barvas,0,077
78,Bathgate,5,078
79,Beath,0,079
80,Bedrule,0,080
81,Beith,0,081
82,Belhelvie,3,082
83,Bellie,0,083
84,Bendochy,0,084
85,Benholm,0,085
86,Bervie,0,086
87,Biggar,1,087
88,Birnie,0,088
89,Birsay and Harray,5,089
90,Birse,1,090
91,Blackford,0,091
92,Blair Atholl,0,092
93,Blairgowrie,0,093
94,Blantyre,0,094
95,Bo'ness and Carriden,48,095
96,Boharm,0,096
97,Boleskine and Abertarff,0,097
98,Bolton,10,098
99,Bonhill,3,099
100,Borgue,2,100
101,Borthwick,18,101
102,Bothwell,0,102
103,Botriphnie,0,103
104,Bourtie,0,104
105,Bowden,3,105
106,Bower,1,106
107,Boyndie,0,107
108,Bracadale,0,108
109,Brechin,19,109
110,Bressay,0,110
111,"Broughton, Glenholm and Kilbucho",2,111
112,Buchanan,0,112
113,Buittle,3,113
114,Bunkle and Preston,1,114
115,Burntisland,11,115
