AOSNUMBER,Agency,Type of LEA,Summary,Type of Juris,Technology,Vendor
AOS003615,Nevada Highway Patrol,State Police,"The Nevada Highway Patrol operates five drones as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.",State,Drones,"Yuneec, DJI"
AOS002334,Fairborn Police Department,Police,The Fairborn Police Department purchased three Yuneec Q500 drones in 2017.,Municipal,Drones,Yuneec
AOS002989,Anderson Police Department,Police,"The Anderson Police Department operates one Yuneec Typhoon Q500 drone as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003005,Attleboro Police Department,Police,"The Attleboro Police Department operates one Yuneec Typhoon Q500 drone as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003034,Beavercreek Police Department,Police,"The Beavercreek Police Department operates one Yuneec Typhoon drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003078,Brown Deer Police Department,Police,"The Brown Deer Police Department operates one Yuneec H520 drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003089,Butler County Sheriff's Office,Sheriff,"The Butler County Sheriff's Office’s Office operates one Yuneec Typhoon Q500 drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.",County,Drones,Yuneec
AOS003103,Carroll County Sheriff's Office,Sheriff,"The Carroll County Sheriff's Office and EMS Department operates four Yuneec drones as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.",County,Drones,Yuneec
AOS003109,Cayuga Nation Police Department,Police,"The Cayuga Nation Police Department operates one Yuneec H520 drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003128,Cincinnati Police Department,Police,"The Cincinnati Police Department operates two Yuneec drones as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003285,Fort Wayne Police Department,Police,"The Fort Wayne Police Department operates two Yuneec drones as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003309,Geary County Sheriff's Office,Sheriff,"The Geary County Sheriff's Office operates one Yuneec Typhoon drone, according to data compiled by the Center for the Study of the Drone at Bard College.",County,Drones,Yuneec
AOS003369,Henderson Police Department,Police,"The Henderson Police Department operates three Yuneec drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003412,Jackson County Sheriff's Office,Sheriff,"The Jackson County Sheriff's Office operates one Yuneec Blade drone as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.",County,Drones,Yuneec
AOS003440,Kane County Sheriff's Office,Sheriff,"The Kane County Sheriff's Office has purchased eight drones, according to the 2022 Illinois Freedom from Drome Surveillance Act Report",County,Drones,Yuneec
AOS003518,Mahoning County Sheriff's Office,Sheriff,"The Mahoning County Sheriff's Office operates one Yuneec Typhoon H drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.",County,Drones,Yuneec
AOS003551,Mercer County Sheriff's Office,Sheriff,"The Mercer County Sheriff's Office operates one Yuneec Typhoon 4K drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.",County,Drones,Yuneec
AOS003596,Morrow Police Department,Police,"The Morrow Police Department operates one Yuneec Typhoon H drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003600,Mountain Brook Police Department,Police,"The Mountain Brook Police Department operates one Yuneec Typhoon drone as of 2019, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003601,Munfordville Police Department,Police,"The Munfordville Police Department operates two Yuneec drones as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003668,Oregon Police Department,Police,"The Oregon Police Department operates one Yuneec Tornado drone as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003699,Pelham Police Department,Police,"The Pelham Police Department operates two Yuneec drones as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003707,Phoenixville Police Department,Police,"The Phoenixville Police Department operates one Yuneec Typhoon H drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003708,Pickens County Sheriff's Office,Sheriff,"The Pickens County Sheriff's Office operates one Yuneec Typhoon H drone as of 2017, according to data compiled by the Center for the Study of the Drone at Bard College.",County,Drones,Yuneec
AOS003793,Rome Police Department,Police,"The Rome Police Department operates one Yuneec Typhoon drone as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003863,South Padre Island Police Department,Police,"The South Padre Island Police Department operates one Yuneec Typhoon Q500 drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003958,Utica Police Department,Police,"The Utica Police Department operates one Yuneec Typhoon Q500 drone as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS003997,West Dundee Police Department,Police,"The West Dundee Police Department has one drone, according to the 2022 Illinois Freedom from Drome Surveillance Act Report.",Municipal,Drones,Yuneec
AOS003998,West Hempfield Township Police Department,Police,"The West Hempfield Township Police Department operates two Yuneec drones as of 2018, according to data compiled by the Center for the Study of the Drone at Bard College.",Municipal,Drones,Yuneec
AOS004030,Wood County Sheriff's Office,Sheriff,"The Wood County Sheriff's Office operates one Yuneec Typhoon Q500 drone as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.",County,Drones,Yuneec
AOS009268,Cavuga Nation Police Department,Police,The Cavuga Nation Police Department had a Yuneec H520 drone as of 2019.,Municipal,Drones,Yuneec
AOS009271,Jenks Police Department,Police,The Jenks Police Department had at least six Yuneec drones as of 2020.,Municipal,Drones,Yuneec
AOS012178,Zapata County Sheriff's Office,Sheriff,The Zapata County Sheriff's Office uses Wrap Intrinsic body-worn cameras.,County,Body-worn Cameras,Wrap Intrinsic
