DATEADDRID,start,startstr,end,endstr,street,city,state,country,HDID
17,1873,1873,1873,1873,170 Hanover St.,Boston,MA,USA,10
16,1866,1866,1872,1872,19 Lindall St.,Boston,MA,USA,10
19,1876,1876,1876,1876,341 Washington St.,Boston,MA,USA,10
18,1874,1874,1874,1874,538 Washington St.,Boston,MA,USA,10
27,1860,1860,1861,1861,17 Doane St.,Boston,MA,USA,14
28,1862,1862,1863,1863,20 Washington St.,Boston,MA,USA,14
25,1857,1857,1857,1857,21 School St. (address found in the imprint statement of a b,Boston,MA,USA,14
26,1859,1859,1859,1859,3 Doane St.,Boston,MA,USA,14
24,1856,1856,1856,1856,30 Hawley St. (address found in the imprint statement of a b,Boston,MA,USA,14
29,1864,1864,1869,1869,36 Washington St.,Boston,MA,USA,14
32,1873,1873,1873,1873,37 Bowker St.,Boston,MA,USA,14
23,1853,1853,1853,1853,4 Cornhill St. (address found in the imprint statement of a,Boston,MA,USA,14
33,1875,1875,1879,at least 1,73 Kilby St.,Boston,MA,USA,14
31,1871,1871,1871,1871,80 Sudbury St.,Boston,MA,USA,14
30,1870,1870,1870,1870,90 Sudbury St.,Boston,MA,USA,14
39,1851,1851,1851,1851,11 Devonshire St.,Boston,MA,USA,22
40,1853,1853,1853,1853,17 Devonshire St.,Boston,MA,USA,22
42,1860,1860,1860,1860,19 Water St. (per cat. impr.),Boston,MA,USA,22
41,1854,1854,1854,1854,"19 Water St., over Boston Post.",Boston,MA,USA,22
53,1834,ca. 1834,1837,1837,47 Court St.,Boston,MA,USA,27
60,1857,1857,1859,1859,110 Washington St.,Boston,MA,USA,33
132,1848,1848,1855,1855,35 Cornhill,Boston,MA,USA,69
152,1868,1868,1870,1870,"104 Washington St. Boston",Boston,MA,USA,71
153,1871,1871,1875,1875,"116 or 117 Washington St. Boston",Boston,MA,USA,71
151,1868,1868,1868,1868,"21 Cornhill Boston",Boston,MA,USA,71
154,1876,1876,1876,1876,"23 Franklin St. Boston",Boston,MA,USA,71
150,1862,1862,1868,1868,"40 Cornhill Boston",Boston,MA,USA,71
149,1858,1858?,1858,1858?,78 Washington St. Boston (per publisher's advertisements on,Boston,MA,USA,71
194,1849,1849,1849,1849,71 Court St.,Boston,MA,USA,77
200,1831,1831,1831,1831,"4 Federal Ct.",Boston,MA,USA,79
197,1826,1826,1827,1827,"6 Boylston Sq.",Boston,MA,USA,79
196,1825,1825,1825,1825,"Common",Boston,MA,USA,79
201,1832,1832,1832,1832,"Devonshire",Boston,MA,USA,79
198,1828,1828,1829,1829,"rear 60 Common",Boston,MA,USA,79
199,1830,1830,1830,1830,"reat 40 Milk",Boston,MA,USA,79
207,1849,1849,1860,1860,16 Devonshire St.,Boston,MA,USA,82
206,1848,1848,1848,1848,26 Devonshire St.,Boston,MA,USA,82
218,1868,1868,1870,1870,37 1/2 Cornhill St.,Boston,MA,USA,90
224,1832,1832,1832,1832,17 Cornhill St.,Boston,MA,USA,93
225,1834,1834,1839,1839,19 Washington St.,Boston,MA,USA,93
226,1839,1839,1845,1845,37 Cornhill St. (per cataloged imprint),Boston,MA,USA,93
241,1862,1862,1865,1865,14 Allen St. (home),Boston,MA,USA,95
238,1844,1844,1845,`1845,18 Exchange St.,Boston,MA,USA,95
237,1838,1838,1843,1843,21 Exchange St.,Boston,MA,USA,95
240,1861,1861,1861,1861,323 Washington St.,Boston,MA,USA,95
239,1846,1846,1860,1860,37 Congress St.,Boston,MA,USA,95
236,1837,1837,1837,1837,45 Washington St.,Boston,MA,USA,95
235,1833,1833,1836,1836,62 Cornhill St.,Boston,MA,USA,95
232,1830,1830,1830,1830,73 Cornhill St.,Boston,MA,USA,95
234,1832,1832,1832,1832,76 Pond St. (home),Boston,MA,USA,95
229,1825,1825,1826,1826,Boylston Square,Boston,MA,USA,95
231,1828,1828,1829,1829,Bromfield Lane,Boston,MA,USA,95
230,1827,1827,1827,1827,Franklin Ave.,Boston,MA,USA,95
233,1831,1831,1831,1831,Garden St. (home),Boston,MA,USA,95
245,1853,1853,1854,1854,124 State St.,Boston,MA,USA,96
244,1848,1848,1852,1852,124 Washington St.,Boston,MA,USA,96
246,1855,1855,1859,1859,132 State St.,Boston,MA,USA,96
243,1842,1842,1846,1846,21 Tremont Row,Boston,MA,USA,96
242,1832,1832,1839,1839,"79 Court St., corner of Brattle St.",Boston,MA,USA,96
274,1861,1861,1867,1867?,117 Washington St. Boston (gathered from undated imprints is,Boston,MA,USA,105
273,1860,1860,1860,1860,"141 Washington Boston",Boston,MA,USA,105
270,1837,1837,1838,1838,"22 Court St. Boston",Boston,MA,USA,105
275,1868,1868,1876,1876,"40 Winter Boston",Boston,MA,USA,105
271,1839,1839,1848,1848,"5 Cornhill Boston",Boston,MA,USA,105
272,1848,1848,1859,1859,"9 Cornhill Boston",Boston,MA,USA,105
339,1838,1838,1840,1840,10 Water St.,Boston,MA,USA,106
340,1841,1841,1842,1842,107 Washington St.,Boston,MA,USA,106
338,1831,1831,1837,1837,112 Washington St.,Boston,MA,USA,106
337,1826,1826,1830,1830,134 Washington St.,Boston,MA,USA,106
341,1857,1857,1859,1859,131 Washington St.,Boston,MA,USA,107
346,1849,1849,1855,1855,11 Marion St.,Boston,MA,USA,112
355,1845,1845,1845,1845,11 Joy's Bldg.,Boston,MA,USA,121
356,1846,1846,1848,1848,13 Joy's Bldg.,Boston,MA,USA,121
357,1849,1849,1850,1850,33 Somerset St.,Boston,MA,USA,121
371,1839,1839,1843,1843,6 Water St.,Boston,MA,USA,128
375,1873,1873,1874,1874,114 Washington St.,Boston,MA,USA,129
372,1863,1863,1868,1868,131 Washington St.,Boston,MA,USA,129
374,1871,1871,1871,1871,131 Washington St.,Boston,MA,USA,129
373,1870,1870,1870,1870,17 Milk St.,Boston,MA,USA,129
376,1876,1876,1876,1876,47 Franklin St.,Boston,MA,USA,129
380,1829,1829,1833,1833,114 Washington St.,Boston,MA,USA,132
381,1836,1836,1839,1839,114 washington St.,Boston,MA,USA,132
382,1861,1861,1863,1863,7 Water St. and 21 Bromfield St.,Boston,MA,USA,133
396,1872,1872,1897,1897,143 Washington St.,Boston,MA,USA,141
397,1833,1833,1834,1834,121 Washington St.,Boston,MA,USA,142
408,1842,1842,1844,1844,112 Washington St.,Boston,MA,USA,148
410,1849,1849,1849,1849,112 Washington St.,Boston,MA,USA,148
409,1845,1845,1848,1848,124 Washington St.,Boston,MA,USA,148
407,1841,1841,1841,1841,7 Marshall St.,Boston,MA,USA,148
412,1835,1835,1835,1835,121 Washington St.,Boston,MA,USA,149
411,1833,1833,1834,1834,134 Washington St.,Boston,MA,USA,149
422,1861,1861,1874,1874,110 Washington St.,Boston,MA,USA,155
421,1852,1852,1860,1860,112 Washington St.,Boston,MA,USA,155
423,1876,1876,1876,1876,254 Washington St.,Boston,MA,USA,155
441,1831,1831,1832,1832,122 Washington St.,Boston,MA,USA,167
440,1829,1829,1830,1830,362 Washington St.,Boston,MA,USA,167
