AOSNUMBER,City,County,State
AOS003109,Cayuga Nation,Ontario County,NY
AOS003600,Mountain Brook,Jefferson County,AL
AOS009268,Geneva,Ontario County,NV
AOS006906,Bella Villa,St. Louis County,MO
AOS006910,Bonanza,Sebastian County,AR
AOS006911,Brantley,Crenshaw County,AL
AOS006919,Daleville,Delaware County,IN
AOS006920,Cross Roads,Denton County,TX
AOS006921,Dickson,Dickinson County,TN
AOS006925,Fort Recovery,Mercer County,OH
AOS006935,Los Lunas,Valencia County,TN
AOS006958,South Euclid,Cuyahoga County,OH
AOS006959,Temple,"Haralson County, Carroll County",GA
AOS006966,Warrior,"Blount County, Jefferson County",AL
AOS007242,Austin,"Williamson County, Travis County, Hays County",TX
AOS011727,Mescalero,Otero County,NM
AOS001236,Palos Verde Estates,Los Angeles County,CA
AOS002008,Wickliffe,Lake County,OH
AOS002672,Royalton,Morrison County,MN
AOS002694,"Excelsior, Greenwood, Shorewood, Tonka Bay",Hennepin County,MN
AOS002707,Atwater,Kandiyohi County,MN
AOS002887,Tooele City,Tooele County,UT
AOS004390,Peoria Heights,"Woodford County, Tazewell County, Peoria County",IL
AOS007746,New Britain,Hartford County,CT
AOS008728,Woodhaven,Wayne County,MI
AOS008744,River Rouge,Wayne County,MI
AOS009150,Old Orchard Beach,Cumberland County,ME
AOS009267,Shenandoah,Montgomery County,TX
AOS009678,Selma,"Comal County, Bexar County, Guadalupe County",TX
AOS009679,Schertz,"Comal County, Bexar County, Guadalupe County",TX
AOS010011,Converse,Bexar County,TX
AOS011079,Bartonville,Denton County,TX
AOS011317,Spring House,Montgomery County,PA
AOS011416,Landenberg,Chester County,PA
AOS011431,Lafayette Hill,Montgomery County,PA
AOS011665,La Push,Clallam County,WA
AOS011667,Fort Hall,Bingham County,ID
AOS011688,Oakville,Grays Harbor County,WA
AOS011689,Mayetta,Jackson County,KS
AOS011720,Box Elder,Hill County,MT
AOS011733,Darrington,Skagit County,WA
AOS011738,Agency Village,Roberts County,SD
AOS011745,Tulalip,Snohomish County,WA
AOS006823,Walker,Cass County,MI
AOS011028,Lincoln,Lancaster County,NB
AOS000919,San Ramon,Contra Costa County,CA
AOS000082,Grand Prairie,"Ellis County, Tarrant County, Dallas County",TX
AOS000130,Longmont,"Weld County, Boulder County",CO
AOS000135,Thornton,"Weld County, Adams County",CO
AOS000822,Emeryville,Alameda County,CA
AOS004132,Ludowici,Long County,GA
AOS004136,New Lenox,Will County,IL
AOS004152,New York City,"Richmond County, Queens County, Bronx County, Kings County, New York County",NY
AOS004179,Griffith,Lake County,IN
AOS004191,Monroe,Fairfield County,CT
AOS004209,Kansas City,"Cass County, Platte County, Clay County, Jackson County",MO
AOS004211,Loves Park,Boone County,IL
AOS004216,Alamo Heights,Bexar County,TX
AOS004228,Dillard,Rabun County,GA
AOS004235,Kings Point,Nassau County,NY
AOS006863,Wylie,"Rockwall County, Dallas County, Collin County",TX
AOS007541,Hoover,"Shelby County, Jefferson County",AL
AOS007642,Hammond,Lake County,IN
AOS007643,Munster,Lake County,IN
AOS007817,Indian Creek Village,Miami-Dade County,FL
AOS007819,Hogansville,Troup County,GA
AOS012005,Flemington Borough,Hunterdon County,NJ
AOS000413,Aurora,"Douglas County, Arapahoe County, Adams County",CO
AOS004813,Spencer,Okalhoma County,OK
AOS007875,Mansfield,Tolland County,CT
AOS009028,Clinton,Hinds County,MS
AOS011262,Edinburgh,Johnson County,IN
AOS013256,Falls Church,Falls Church (city) County,VA
AOS013260,Crown Point,Lake County,IN
AOS013269,Shaker Heights,Cuyahoga County,OH
AOS003851,Tokeland,Pacific County,WA
AOS012389,Selmer,Mc Nairy County,TN
AOS012417,Smithville,De Kalb County,TN
AOS012423,Athens,Mc Minn County,TN
AOS012433,Etowah,Mc Minn County,TN
AOS012440,South Fulton,Obion County,TN
AOS012463,Pigeon Forge,Seker County,TN
AOS012477,Brownsville,Benton County,TN
AOS012482,Athens,Mc Minn County,TN
AOS012487,Humboldt,"Madison County, Gibson County",TN
AOS012496,White House,Sumner County,TN
AOS012507,Mc Kenzie,Carroll County,TN
AOS012512,Lookout Mountain,Hamilton County,TN
AOS012515,Greenbrier,Robertson County,TN
AOS012519,Signal Mountain,Hamilton County,TN
AOS012525,Smithville,De Kalb County,TN
AOS012527,Goodlettsville,"Sumner County, Davidson County",TN
AOS012537,Decherd,Franklin County,TN
AOS012539,Nolensville,Williamson County,TN
AOS012543,Spring City,Ray County,TN
AOS012544,Vonore,Monroe County,TN
AOS012560,Monteagle,Grundy County,TN
AOS012564,Ridgetop,Robertson County,TN
AOS012565,Rocky Top,Anderson County,TN
AOS012569,Adamsville,Mc Nairy County,TN
AOS012571,Chapel Hill,Marshall County,TN
AOS012577,Jellico,Campbell County,TN
AOS012580,Englewood,Mc Minn County,TN
AOS012584,Mc Ewen,Humphreys County,TN
AOS012585,New Johnsonville,Humphreys County,TN
AOS012588,Tellico Plains,Monroe County,TN
AOS012592,White Bluff,Dickson County,TN
AOS012595,Townsend,Blount County,TN
AOS012602,Graysville,Rhea County,TN
AOS012606,Charleston,Bradley County,TN
AOS012608,Eagleville,Rutherford County,TN
AOS012610,Kenton,Obion County,TN
AOS012614,Pittman Center,Sevier County,TN
AOS012617,Trezevant,Carroll County,TN
AOS012618,Alexandria,De Kalb County,TN
AOS012622,Cornersville,Marshall County,TN
AOS012623,Elkton,Giles County,TN
AOS012624,Huntland,Franklin County,TN
AOS012625,Minor Hill,Jiles County,TN
AOS012627,Powells Crossroads,Marion County,TN
AOS012628,Sharon,Weakley County,TN
AOS012631,Ethridge,Lawrence County,TN
AOS012634,Big Sandy,Benton County,TN
AOS012638,Puryear,Henry County,TN
AOS012641,Hollow Rock,Carroll County,TN
AOS012653,Lakewood,Davidson County,TN
AOS012656,Copperhill,Polk County,TN
AOS012657,Cumberland City,Stewart County,TN
AOS012658,Hornsby,Hardeman County,TN
AOS012659,New Hope,Maryn County,TN
AOS012664,Kingston Springs,Cheatham County,TN
AOS012675,Jonesborough,"Washington County, Unicoi County, Johnson County, Carter County",TN
AOS012677,Greeneville,"Hawkins County, Hancock County, Hamblen County, Greene County",TN
AOS012678,Newport,"Sevier County, Jefferson County, Grainger County, Cocke County",TN
AOS012682,Jacksboro,"Union County, Scott County, Fentress County, Claiborne County, Campbell County",TN
AOS012683,Kingston,"Roane County, Morgan County, Meigs County, Loudon County",TN
AOS012684,Cleveland,"Polk County, Monroe County, McMinn County, Bradley County",TN
