year,commodity,port,value,type,unit,quantity
1760,Broadcloth,Bengal,26263,export,cloths,2595
1760,Broadcloth,Madras,7564,export,cloths,600
1760,Broadcloth,Bombay,64038,export,cloths,4712
1760,Broadcloth,St_Helena,177,export,cloths,6
1760,Broadcloth,Benkulen,576,export,cloths,28
1760,Broadcloth,China,26342,export,cloths,1621
1760,Broadcloth,Angola,0,export,cloths,0
1760,Broadcloth,Penang,0,export,cloths,0
1760,Broadcloth,Java,0,export,cloths,0
1761,Broadcloth,Bengal,62734,export,cloths,4895
1761,Broadcloth,Madras,14135,export,cloths,1087
1761,Broadcloth,Bombay,98252,export,cloths,6814
1761,Broadcloth,St_Helena,99,export,cloths,3
1761,Broadcloth,Benkulen,292,export,cloths,14
1761,Broadcloth,China,27820,export,cloths,1608
1761,Broadcloth,Angola,0,export,cloths,0
1761,Broadcloth,Penang,0,export,cloths,0
1761,Broadcloth,Java,0,export,cloths,0
1762,Broadcloth,Bengal,58098,export,cloths,4514
1762,Broadcloth,Madras,19403,export,cloths,1416
1762,Broadcloth,Bombay,101269,export,cloths,7387
1762,Broadcloth,St_Helena,161,export,cloths,5
1762,Broadcloth,Benkulen,526,export,cloths,24
1762,Broadcloth,China,33523,export,cloths,1893
1762,Broadcloth,Angola,0,export,cloths,0
1762,Broadcloth,Penang,0,export,cloths,0
1762,Broadcloth,Java,0,export,cloths,0
1763,Broadcloth,Bengal,19372,export,cloths,1505
1763,Broadcloth,Madras,119392,export,cloths,9053
1763,Broadcloth,Bombay,56720,export,cloths,3799
1763,Broadcloth,St_Helena,150,export,cloths,5
1763,Broadcloth,Benkulen,528,export,cloths,24
1763,Broadcloth,China,13047,export,cloths,746
1763,Broadcloth,Angola,0,export,cloths,0
1763,Broadcloth,Penang,0,export,cloths,0
1763,Broadcloth,Java,0,export,cloths,0
1764,Broadcloth,Bengal,43959,export,cloths,3205
1764,Broadcloth,Madras,39937,export,cloths,2955
1764,Broadcloth,Bombay,97553,export,cloths,7255
1764,Broadcloth,St_Helena,133,export,cloths,4
1764,Broadcloth,Benkulen,229,export,cloths,9
1764,Broadcloth,China,32358,export,cloths,1764
1764,Broadcloth,Angola,0,export,cloths,0
1764,Broadcloth,Penang,0,export,cloths,0
1764,Broadcloth,Java,0,export,cloths,0
1765,Broadcloth,Bengal,32182,export,cloths,2417
1765,Broadcloth,Madras,34348,export,cloths,2675
1765,Broadcloth,Bombay,103640,export,cloths,7331
1765,Broadcloth,St_Helena,181,export,cloths,7
1765,Broadcloth,Benkulen,0,export,cloths,0
1765,Broadcloth,China,23005,export,cloths,1247
1765,Broadcloth,Angola,48,export,cloths,6
1765,Broadcloth,Penang,0,export,cloths,0
1765,Broadcloth,Java,0,export,cloths,0
1766,Broadcloth,Bengal,14239,export,cloths,935
1766,Broadcloth,Madras,49252,export,cloths,3610
1766,Broadcloth,Bombay,122103,export,cloths,8809
1766,Broadcloth,St_Helena,388,export,cloths,13
1766,Broadcloth,Benkulen,381,export,cloths,30
1766,Broadcloth,China,27115,export,cloths,1463
1766,Broadcloth,Angola,0,export,cloths,0
1766,Broadcloth,Penang,0,export,cloths,0
1766,Broadcloth,Java,0,export,cloths,0
1767,Broadcloth,Bengal,20434,export,cloths,1296
1767,Broadcloth,Madras,29868,export,cloths,2119
1767,Broadcloth,Bombay,116171,export,cloths,8381
1767,Broadcloth,St_Helena,0,export,cloths,0
1767,Broadcloth,Benkulen,219,export,cloths,14
1767,Broadcloth,China,18257,export,cloths,935
1767,Broadcloth,Angola,0,export,cloths,0
1767,Broadcloth,Penang,0,export,cloths,0
1767,Broadcloth,Java,0,export,cloths,0
1768,Broadcloth,Bengal,30847,export,cloths,3298
1768,Broadcloth,Madras,38590,export,cloths,2760
1768,Broadcloth,Bombay,96421,export,cloths,6792
1768,Broadcloth,St_Helena,310,export,cloths,11
1768,Broadcloth,Benkulen,135,export,cloths,6
1768,Broadcloth,China,65089,export,cloths,3380
1768,Broadcloth,Angola,0,export,cloths,0
1768,Broadcloth,Penang,0,export,cloths,0
1768,Broadcloth,Java,0,export,cloths,0
1769,Broadcloth,Bengal,54371,export,cloths,3937
1769,Broadcloth,Madras,28346,export,cloths,2050
1769,Broadcloth,Bombay,70163,export,cloths,4779
1769,Broadcloth,St_Helena,163,export,cloths,6
1769,Broadcloth,Benkulen,312,export,cloths,14
1769,Broadcloth,China,60742,export,cloths,3061
1769,Broadcloth,Angola,0,export,cloths,0
1769,Broadcloth,Penang,0,export,cloths,0
1769,Broadcloth,Java,0,export,cloths,0
1770,Broadcloth,Bengal,59284,export,cloths,4259
1770,Broadcloth,Madras,10851,export,cloths,849
1770,Broadcloth,Bombay,59894,export,cloths,4126
1770,Broadcloth,St_Helena,275,export,cloths,9
1770,Broadcloth,Benkulen,384,export,cloths,17
1770,Broadcloth,China,81274,export,cloths,4108
1770,Broadcloth,Angola,0,export,cloths,0
